Shipment ID	FBA15BWBNN8P
Name	FBA (18.05.18 20:25) - 1
Plan ID	PLN173XQHV
Ship To	Amazon Fulfillment Center, Via della Meccanica snc, Passo Corese (RI), Rieti, IT, 02032
Total SKUs	41
Total Units	633
Pack list	1 di 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who Will Prep?	Prep Type	Who Will Label?	Shipped	FBA15BWBNN8PU001 - Unit Quantity	FBA15BWBNN8PU001 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU002 - Unit Quantity	FBA15BWBNN8PU002 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU003 - Unit Quantity	FBA15BWBNN8PU003 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU004 - Unit Quantity	FBA15BWBNN8PU004 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU005 - Unit Quantity	FBA15BWBNN8PU005 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU006 - Unit Quantity	FBA15BWBNN8PU006 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU007 - Unit Quantity	FBA15BWBNN8PU007 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU008 - Unit Quantity	FBA15BWBNN8PU008 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU009 - Unit Quantity	FBA15BWBNN8PU009 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU010 - Unit Quantity	FBA15BWBNN8PU010 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU011 - Unit Quantity	FBA15BWBNN8PU011 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU012 - Unit Quantity	FBA15BWBNN8PU012 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU013 - Unit Quantity	FBA15BWBNN8PU013 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU014 - Unit Quantity	FBA15BWBNN8PU014 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU015 - Unit Quantity	FBA15BWBNN8PU015 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU016 - Unit Quantity	FBA15BWBNN8PU016 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU017 - Unit Quantity	FBA15BWBNN8PU017 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU018 - Unit Quantity	FBA15BWBNN8PU018 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU019 - Unit Quantity	FBA15BWBNN8PU019 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU020 - Unit Quantity	FBA15BWBNN8PU020 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU021 - Unit Quantity	FBA15BWBNN8PU021 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU022 - Unit Quantity	FBA15BWBNN8PU022 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU023 - Unit Quantity	FBA15BWBNN8PU023 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU024 - Unit Quantity	FBA15BWBNN8PU024 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU025 - Unit Quantity	FBA15BWBNN8PU025 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU026 - Unit Quantity	FBA15BWBNN8PU026 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU027 - Unit Quantity	FBA15BWBNN8PU027 Expiration Date (dd.mm.yy)
KM-C4VB-8F6M	My Custom Style® Telo mare personalizzabile modello "#SummerTime #Unicorno", che si trasforma in Borsa, in microfibra e cotone da 400gr/mq, formato da cm144x72, per spiaggia palestra piscina o tempo libero. L'asciugamano è personalizzata con stampa sublimatica ad alta risoluzione, e quando vuoi risalire dalla spiaggia l'avvolgi su se stessa per trasformarla in una bella borsa mare, anch'essa personalizzata.	B072XKCQ2P	X000PREDNV		Nuovo	"--"	"--"	Venditore	2		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
LR-RHNK-2VQM	HP HP 12 C Platinum Calcolatrice	B001B4SYBQ	X000NZIMPP	EAN : 0642125278317	Nuovo	"--"	"--"	Venditore	2		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
M7-POOQ-KCFW	My Custom Style® Telo mare modello "#SummerTime #CrimeScene", in microfibra vellutata, per spiaggia palestra piscina o tempo libero . Formato da 160x80cm. L'asciugamano è personalizzato, con la grafica scelta, utilizzando una stampa sublimatica full print ad alta risoluzione, per un risultato bello e duraturo.	B072K95DBK	X000PP57XD		Nuovo	"--"	"--"	Venditore	1		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
MCS-AST_10292_1608	My Custom Style® Telo mare / asciugamano modello "Festa della Mamma - L'albero della Mamma", in microfibra vellutata, per spiaggia palestra piscina o tempo libero . Formato da 160x80cm. L'asciugamani è personalizzata, con la grafica scelta, utilizzando una stampa sublimatica full print ad alta risoluzione, per un risultato bello e duraturo. Il retro dell'asciugamano è di colore bianco, ma stampabile con supplemento, a richiesta.	B07BWFKCMN	X000U23S4B		Nuovo	"--"	"--"	Venditore	1		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
M_MCS-GADG_39008_90	My Custom Style® Salvadanaio colore Bianco, in plastica, a forma di maiale maialino colorato. Dimensione 12,4x10x10cm. Il Porcellino ha un tappetto di chiusura sottostante che ne permette il riutilizzo. Confezione in scatola bianca inclusa nel prezzo.	B0747PYCM3	X000Q71V1H		Nuovo	"--"	"--"	Venditore	4		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
O9-9ZA7-83X8	10 BORSE SHOPPER IN COTONE, colore beige, ideale per pittura su stoffa	B00B5FKXI8	X000PYW1LF		Nuovo	"--"	"--"	Venditore	75		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
PHCM-HP17BII_1	HP HP 17 BII PLUS Calcolatrice	B001B4SYC0	X000QFDOVT	EAN : 8595179500861	Nuovo	"--"	"--"	Venditore	10		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
WH-S42O-66UG	My Custom Style® Telo mare personalizzabile modello "#SummerTime #Fenicottero", che si trasforma in Borsa, in microfibra e cotone da 400gr/mq, formato da cm144x72, per spiaggia palestra piscina o tempo libero. L'asciugamano è personalizzata con stampa sublimatica ad alta risoluzione, e quando vuoi risalire dalla spiaggia l'avvolgi su se stessa per trasformarla in una bella borsa mare, anch'essa personalizzata.	B072XNCWBB	X000PQWXKH		Nuovo	"--"	"--"	Venditore	2		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
YG-6OJY-VWG9	My Custom Style® Confezione risparmio da 10 Shopper in cotone naturale di colore blu royal con manici medi da 50cm. Ideale per pittura o per stampe digitali, formato 36,5x41cm.	B06X9ND6ZS	X000PBAB33		Nuovo	"--"	"--"	Venditore	1		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
YO-H2MK-M8W3	My Custom Style® Confezione risparmio da 10 Shopper in cotone naturale di colore nera con manici medi da 50cm. Ideale per pittura o per stampe digitali, formato 36,5x41cm.	B06X9XDRM8	X000PBNJG9		Nuovo	"--"	"--"	Venditore	5		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
ZJ-FKPL-WQ17	My Custom Style® Confezione risparmio da 10 Shopper in cotone naturale di colore verde chiaro con manici medi da 50cm. Ideale per pittura o per stampe digitali, formato 36,5x41cm.	B06X9ZPQSL	X000PBHUU5		Nuovo	"--"	"--"	Venditore	1		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
