Shipment ID	FBA15BWBNN8P
Name	FBA (18.05.18 20:25) - 1
Plan ID	PLN173XQHV
Ship To	Amazon Fulfillment Center, Via della Meccanica snc, Passo Corese (RI), Rieti, IT, 02032
Total SKUs	41
Total Units	633
Pack list	1 di 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who Will Prep?	Prep Type	Who Will Label?	Shipped	FBA15BWBNN8PU001 - Unit Quantity	FBA15BWBNN8PU001 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU002 - Unit Quantity	FBA15BWBNN8PU002 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU003 - Unit Quantity	FBA15BWBNN8PU003 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU004 - Unit Quantity	FBA15BWBNN8PU004 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU005 - Unit Quantity	FBA15BWBNN8PU005 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU006 - Unit Quantity	FBA15BWBNN8PU006 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU007 - Unit Quantity	FBA15BWBNN8PU007 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU008 - Unit Quantity	FBA15BWBNN8PU008 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU009 - Unit Quantity	FBA15BWBNN8PU009 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU010 - Unit Quantity	FBA15BWBNN8PU010 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU011 - Unit Quantity	FBA15BWBNN8PU011 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU012 - Unit Quantity	FBA15BWBNN8PU012 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU013 - Unit Quantity	FBA15BWBNN8PU013 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU014 - Unit Quantity	FBA15BWBNN8PU014 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU015 - Unit Quantity	FBA15BWBNN8PU015 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU016 - Unit Quantity	FBA15BWBNN8PU016 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU017 - Unit Quantity	FBA15BWBNN8PU017 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU018 - Unit Quantity	FBA15BWBNN8PU018 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU019 - Unit Quantity	FBA15BWBNN8PU019 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU020 - Unit Quantity	FBA15BWBNN8PU020 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU021 - Unit Quantity	FBA15BWBNN8PU021 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU022 - Unit Quantity	FBA15BWBNN8PU022 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU023 - Unit Quantity	FBA15BWBNN8PU023 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU024 - Unit Quantity	FBA15BWBNN8PU024 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU025 - Unit Quantity	FBA15BWBNN8PU025 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU026 - Unit Quantity	FBA15BWBNN8PU026 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU027 - Unit Quantity	FBA15BWBNN8PU027 Expiration Date (dd.mm.yy)
FBA-GUFO_12210	My Custom Style® Guantone da forno modello "Festa della Mamma - Mamma Chef", taglia unica da 65 x 90 cm, realizzato in cotone e poliestere con strato termoisolante. Simpatica idea regalo, o per un look originale in cucina	B07CKT79PQ	X000UM5P65		Nuovo	"--"	"--"	Venditore	1		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA-KIT_BOL+2	My Custom Style® kit estate con: Bollitore Aigostar + Telo mare che si trasforma in Borsa,+ 8 foulard in poliestere + adattatore	B072QVR721	X000U2LHGR		Nuovo	"--"	"--"	Venditore	1		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA-SHOP_5P_1	Set df 5 borse in Cotone, bianco naturale, 38x42cm	B001JPPEI8	X000RZ8DU5	EAN : 4260081542790	Nuovo	"--"	"--"	Venditore	10		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA-T-019_MIX_30A	STOCK 30 PEZZI Borsa shopper shopping in cotone colorato	B01I070EKA	X000TTZF7N	EAN : 7425752654685	Nuovo	"--"	"--"	Venditore	2		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA-T0134012	Epson T0713 Serie Ghepardo Cartuccia Originale, Magenta	B000H2NGFM	X000U8SH0P	EAN : 4054189146246	Nuovo	"--"	"--"	Venditore	20																																																						
FBA-T07154012	Epson T0715 Serie Ghepardo Cartuccia Originale, Multipack, 4 Colori	B000HL9WYC	X000U9ECLH	EAN : 4054189127443	Nuovo	"--"	"--"	Venditore	30																																																						
FBA-T129540	Epson C13T12954012 Cartuccia Inkjet Ink Pigmentato Blister RS Mela-L T1295, Confezione da 4: Nero/Ciano/Magenta/Giallo	B003MVJ5FU	X000U9ANR9	EAN : 3663361117052	Nuovo	"--"	"--"	Venditore	20		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA-T16264	Epson 16 Serie Penna e Cruciverba Cartuccia Originale, Standard, Multipack, 4 Colori	B008MTRCPM	X000U9AZ3V	EAN : 5053973962696	Nuovo	"--"	"--"	Venditore	14		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA-T181640	Epson 18XL Serie Margherita Cartuccia Originale, XL, Multipack, 4 Colori	B008392IQE	X000UAK9I1	EAN : 8715946625287	Nuovo	"--"	"--"	Venditore	8																																																						
FBA-T299640	Epson 29 XL Serie Fragola Cartuccia Originale, Multipack, XL, 4 Colori	B013DHMFSQ	X000UA7PMJ	EAN : 4054189910878	Nuovo	"--"	"--"	Venditore	20																																																						
