Shipment ID	FBA15BWT9Z23
Name	FBA (01.06.18 13:48) - 1
Plan ID	PLN17G6WW0
Ship To	Amazon Fulfillment Center, Via della Meccanica snc, Passo Corese (RI), Rieti, IT, 02032
Total SKUs	32
Total Units	723
Pack list	1 di 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who Will Prep?	Prep Type	Who Will Label?	Shipped	FBA15BWT9Z23U001 - Unit Quantity	FBA15BWT9Z23U001 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U002 - Unit Quantity	FBA15BWT9Z23U002 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U003 - Unit Quantity	FBA15BWT9Z23U003 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U004 - Unit Quantity	FBA15BWT9Z23U004 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U005 - Unit Quantity	FBA15BWT9Z23U005 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U006 - Unit Quantity	FBA15BWT9Z23U006 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U007 - Unit Quantity	FBA15BWT9Z23U007 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U008 - Unit Quantity	FBA15BWT9Z23U008 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U009 - Unit Quantity	FBA15BWT9Z23U009 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U010 - Unit Quantity	FBA15BWT9Z23U010 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U011 - Unit Quantity	FBA15BWT9Z23U011 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U012 - Unit Quantity	FBA15BWT9Z23U012 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U013 - Unit Quantity	FBA15BWT9Z23U013 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U014 - Unit Quantity	FBA15BWT9Z23U014 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U015 - Unit Quantity	FBA15BWT9Z23U015 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U016 - Unit Quantity	FBA15BWT9Z23U016 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U017 - Unit Quantity	FBA15BWT9Z23U017 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U018 - Unit Quantity	FBA15BWT9Z23U018 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U019 - Unit Quantity	FBA15BWT9Z23U019 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U020 - Unit Quantity	FBA15BWT9Z23U020 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U021 - Unit Quantity	FBA15BWT9Z23U021 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U022 - Unit Quantity	FBA15BWT9Z23U022 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U023 - Unit Quantity	FBA15BWT9Z23U023 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U024 - Unit Quantity	FBA15BWT9Z23U024 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U025 - Unit Quantity	FBA15BWT9Z23U025 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U026 - Unit Quantity	FBA15BWT9Z23U026 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U027 - Unit Quantity	FBA15BWT9Z23U027 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U028 - Unit Quantity	FBA15BWT9Z23U028 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U029 - Unit Quantity	FBA15BWT9Z23U029 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U030 - Unit Quantity	FBA15BWT9Z23U030 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U031 - Unit Quantity	FBA15BWT9Z23U031 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U032 - Unit Quantity	FBA15BWT9Z23U032 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U033 - Unit Quantity	FBA15BWT9Z23U033 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U034 - Unit Quantity	FBA15BWT9Z23U034 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U035 - Unit Quantity	FBA15BWT9Z23U035 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U036 - Unit Quantity	FBA15BWT9Z23U036 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U037 - Unit Quantity	FBA15BWT9Z23U037 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U038 - Unit Quantity	FBA15BWT9Z23U038 Expiration Date (dd.mm.yy)
FBA-T0134012	Epson T0713 Serie Ghepardo Cartuccia Originale, Magenta	B000H2NGFM	X000U8SH0P	EAN : 4054189146246	Nuovo	"--"	"--"	Venditore	20																																																																												
FBA-T019_50A	SCONTO 40% PER CONFEZIONE DA 50 PEZZI - BORSE SHOPPER IN TESSUTO DI COTONE NATURALE CM 38x42	B00Q8SLQ5Q	X000TPXIIZ	EAN : 8211070066335	Nuovo	"--"	"--"	Venditore	5		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA-T07154012	Epson T0715 Serie Ghepardo Cartuccia Originale, Multipack, 4 Colori	B000HL9WYC	X000U9ECLH	EAN : 4054189127443	Nuovo	"--"	"--"	Venditore	30																																																																												
FBA-T129540	Epson C13T12954012 Cartuccia Inkjet Ink Pigmentato Blister RS Mela-L T1295, Confezione da 4: Nero/Ciano/Magenta/Giallo	B003MVJ5FU	X000U9ANR9	EAN : 3663361117052	Nuovo	"--"	"--"	Venditore	16		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA_AGE-500351	Aigostar Breath 30CFR - Macina caffè elettrica a doppio contatto con lame in acciaio inossidabile, Macina chicchi di caffè, spezie, frutta a guscio e grano, coperchio trasparente, capacità di 60g, 150 Watt, BPA Free, Nero.	B015NDLLJ2	X000Q5DXLF	EAN : 8433325500351	Nuovo	"--"	"--"	Venditore	5		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA_AGE-500948	Aigostar Steel Purple 31HFZ - Ferro da stiro in acciaio inox antiaderente con controllo variabile a vapore. Sistema antigoccia e autopulizia, 2200W, 320ml. Design Esclusivo.	B01GOC7O4C	X000Q4XY3X	EAN : 8433325500948	Nuovo	"--"	"--"	Venditore	2		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA_AGE-501075	Aigostar Rita 32HGT - Piastra per capelli con rivestimento in ceramica, Potenza 45W Design e Garanzia esclusivi Aigostar	B01HIF8YLG	X000Q5099J	EAN : 8433325501075	Nuovo	"--"	"--"	Venditore	3		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA_KAMASUTRA_160X80	My Custom Style® Telo mare modello "#SummerTime #Kamasutra", in microfibra vellutata, per spiaggia palestra piscina o tempo libero . Formato da 160x80cm. L'asciugamano è personalizzato, con la grafica scelta, utilizzando una stampa sublimatica full print ad alta risoluzione, per un risultato bello e duraturo.	B071K2P4VZ	X000Q84I39		Nuovo	"--"	"--"	Venditore	1		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA_MCS-SHOPCO10_2	geschenkartikel-shopping Borsa cotone tinta unita con manici lunghi 10 pezzi - Ideale per tessuto pittura	B007NYCYXW	X000NHH3RB	EAN : 0764558150173	Nuovo	Venditore	Busta di plastica	Venditore	250		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA_MP1211_2496B001	Canon Mp1211Ltsc	B001E42QYO	X000Q8GD3H	EAN : 4960999538471	Nuovo	"--"	"--"	Venditore	20		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
