Shipment ID	FBA15BWT9Z23
Name	FBA (01.06.18 13:48) - 1
Plan ID	PLN17G6WW0
Ship To	Amazon Fulfillment Center, Via della Meccanica snc, Passo Corese (RI), Rieti, IT, 02032
Total SKUs	32
Total Units	723
Pack list	1 di 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who Will Prep?	Prep Type	Who Will Label?	Shipped	FBA15BWT9Z23U001 - Unit Quantity	FBA15BWT9Z23U001 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U002 - Unit Quantity	FBA15BWT9Z23U002 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U003 - Unit Quantity	FBA15BWT9Z23U003 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U004 - Unit Quantity	FBA15BWT9Z23U004 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U005 - Unit Quantity	FBA15BWT9Z23U005 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U006 - Unit Quantity	FBA15BWT9Z23U006 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U007 - Unit Quantity	FBA15BWT9Z23U007 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U008 - Unit Quantity	FBA15BWT9Z23U008 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U009 - Unit Quantity	FBA15BWT9Z23U009 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U010 - Unit Quantity	FBA15BWT9Z23U010 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U011 - Unit Quantity	FBA15BWT9Z23U011 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U012 - Unit Quantity	FBA15BWT9Z23U012 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U013 - Unit Quantity	FBA15BWT9Z23U013 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U014 - Unit Quantity	FBA15BWT9Z23U014 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U015 - Unit Quantity	FBA15BWT9Z23U015 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U016 - Unit Quantity	FBA15BWT9Z23U016 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U017 - Unit Quantity	FBA15BWT9Z23U017 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U018 - Unit Quantity	FBA15BWT9Z23U018 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U019 - Unit Quantity	FBA15BWT9Z23U019 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U020 - Unit Quantity	FBA15BWT9Z23U020 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U021 - Unit Quantity	FBA15BWT9Z23U021 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U022 - Unit Quantity	FBA15BWT9Z23U022 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U023 - Unit Quantity	FBA15BWT9Z23U023 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U024 - Unit Quantity	FBA15BWT9Z23U024 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U025 - Unit Quantity	FBA15BWT9Z23U025 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U026 - Unit Quantity	FBA15BWT9Z23U026 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U027 - Unit Quantity	FBA15BWT9Z23U027 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U028 - Unit Quantity	FBA15BWT9Z23U028 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U029 - Unit Quantity	FBA15BWT9Z23U029 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U030 - Unit Quantity	FBA15BWT9Z23U030 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U031 - Unit Quantity	FBA15BWT9Z23U031 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U032 - Unit Quantity	FBA15BWT9Z23U032 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U033 - Unit Quantity	FBA15BWT9Z23U033 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U034 - Unit Quantity	FBA15BWT9Z23U034 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U035 - Unit Quantity	FBA15BWT9Z23U035 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U036 - Unit Quantity	FBA15BWT9Z23U036 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U037 - Unit Quantity	FBA15BWT9Z23U037 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U038 - Unit Quantity	FBA15BWT9Z23U038 Expiration Date (dd.mm.yy)
FBA_PHCM-NW277AA	HP Smartcalc 300S Calcolatrice	B00BOZ649G	X000NKEATR	EAN : 0044111654608	Nuovo	"--"	"--"	Venditore	30		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA_SALV_MAI_BLU	Salvadanaio in plastica a forma di maiale maialino colorato	B00AZ18NOY	X000Q54D05	EAN : 8714151157002	Nuovo	"--"	"--"	Venditore	4		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FS-U48H-DS4S	HP Prime V2 Desktop Graphing Black, Silver calculator - Calculators (Desktop, Graphing, Flash, USB port, Battery, Black, Silver)	B00XH8BODO	X000NX2Q4Z	EAN : 0888182912362	Nuovo	"--"	"--"	Venditore	30		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
GE-P6J7-61FC	HP HP 10S Calcolatrice	B00ANCVP0O	X000O9V02H	EAN : 5052182959459	Nuovo	"--"	"--"	Venditore	30		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
JX-ZCJF-G5R8	CONFEZ. 10 PEZZI BORSE SHOPPER COTONE NATURALE - CM 38x42	B00Q8RU6YY	X000PYZPBD	EAN : 8211070066236	Nuovo	"--"	"--"	Venditore	100		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
KM-C4VB-8F6M	My Custom Style® Telo mare personalizzabile modello "#SummerTime #Unicorno", che si trasforma in Borsa, in microfibra e cotone da 400gr/mq, formato da cm144x72, per spiaggia palestra piscina o tempo libero. L'asciugamano è personalizzata con stampa sublimatica ad alta risoluzione, e quando vuoi risalire dalla spiaggia l'avvolgi su se stessa per trasformarla in una bella borsa mare, anch'essa personalizzata.	B072XKCQ2P	X000PREDNV		Nuovo	"--"	"--"	Venditore	1		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
M7-POOQ-KCFW	My Custom Style® Telo mare modello "#SummerTime #CrimeScene", in microfibra vellutata, per spiaggia palestra piscina o tempo libero . Formato da 160x80cm. L'asciugamano è personalizzato, con la grafica scelta, utilizzando una stampa sublimatica full print ad alta risoluzione, per un risultato bello e duraturo.	B072K95DBK	X000PP57XD		Nuovo	"--"	"--"	Venditore	1		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
O9-9ZA7-83X8	10 BORSE SHOPPER IN COTONE, colore beige, ideale per pittura su stoffa	B00B5FKXI8	X000PYW1LF		Nuovo	"--"	"--"	Venditore	100		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
QG-93YP-9L9X	Aigostar Romeo & Juliet - Bollitore Pack Romeo & Juliet	B01I5B2A7Q	X000O9NLGZ	EAN : 7000000011306	Nuovo	"--"	"--"	Venditore	4		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
UL-BWDM-BAFC	My Custom Style® CONFEZIONE RISPARMIO DA 3 Cuffie BIANCHE piscina o mare per nuoto, in Spandex (LICRA ELASTICA e TRASPIRANTE), per una vestibilità comoda e senza tirare. Taglia unica. Dimensioni 21x12cm. La cuffia in versione personalizzata (cerca il codice B072MCTTH7 ) è personalizzabile con stampa sublimatica di qualità fotografica con la frase e/o le immagini che desideri, per rendere il Tuo look esclusivo in qualsiasi circostanza.	B071WHNKKD	X000PP5GX9		Nuovo	"--"	"--"	Venditore	1		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
UP-S188-BTQU	My Custom Style® Telo mare modello "#SummerTime #VideoGame", in microfibra vellutata, per spiaggia palestra piscina o tempo libero . Formato da 160x80cm. L'asciugamano è personalizzato, con la grafica scelta, utilizzando una stampa sublimatica full print ad alta risoluzione, per un risultato bello e duraturo.	B072MVZ9YT	X000PP2IV7		Nuovo	"--"	"--"	Venditore	1		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
VB-K9SL-DO4K	Prime Graphing Calculator	B00CMWCT26	X000PBIR25	EAN : 0617407455526	Nuovo	"--"	"--"	Venditore	20		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
